author_name,author_url,author_average_rating,author_number_of_people_read,author_number_of_people_wants_to_read,author_date_of_birth,author_number_of_fans,author_number_of_books_written,author_number_of_awards
Aleksander Kamiński,https://lubimyczytac.pl/autor/6812/aleksander-kaminski,7.6,47938,3711,1903-01-28 00:00:00,117,19,0
Christiane Felscherinow,https://lubimyczytac.pl/autor/30150/christiane-felscherinow,7.0,42155,9812,1962-05-20 00:00:00,111,2,0
Jane Austen,https://lubimyczytac.pl/autor/11485/jane-austen,7.5,43071,47514,1775-12-16 00:00:00,3560,52,2
J.D. Salinger,https://lubimyczytac.pl/autor/23290/j-d-salinger,7.3,38560,16583,1919-01-01 00:00:00,328,7,1
Albert Camus,https://lubimyczytac.pl/autor/13912/albert-camus,7.2,47402,21552,1913-11-07 00:00:00,996,36,1
Paulo Coelho,https://lubimyczytac.pl/autor/14849/paulo-coelho,6.3,68728,31813,1947-08-24 00:00:00,2458,39,0
John Green,https://lubimyczytac.pl/autor/32136/john-green,6.9,47025,41115,1977-08-24 00:00:00,3690,16,1
Astrid Lindgren,https://lubimyczytac.pl/autor/6130/astrid-lindgren,7.5,46663,9773,1907-11-14 00:00:00,872,85,0
Henryk Sienkiewicz,https://lubimyczytac.pl/autor/2062/henryk-sienkiewicz,6.7,74335,21795,1846-05-05 00:00:00,1362,180,0
Mario Puzo,https://lubimyczytac.pl/autor/19544/mario-puzo,7.4,37663,32209,1920-10-15 00:00:00,1408,13,0
William Shakespeare,https://lubimyczytac.pl/autor/10304/william-shakespeare,7.8,61085,27099,23.04.1564,1988,174,0
Cassandra Clare,https://lubimyczytac.pl/autor/3373/cassandra-clare,7.6,40587,108717,1973-07-31 00:00:00,5628,76,0
Dmitry Glukhovsky,https://lubimyczytac.pl/autor/31090/dmitry-glukhovsky,7.1,37888,43090,1979-07-12 00:00:00,1803,22,1
Adam Mickiewicz,https://lubimyczytac.pl/autor/6520/adam-mickiewicz,7.0,55067,8793,1798-12-24 00:00:00,864,268,0
B.A. Paris,https://lubimyczytac.pl/autor/139169/b-a-paris,6.9,40258,24384,1958-01-01 00:00:00,1477,10,0
Markus Zusak,https://lubimyczytac.pl/autor/6092/markus-zusak,7.4,31880,29879,1975-06-23 00:00:00,796,9,0
Remigiusz Mróz,https://lubimyczytac.pl/autor/82094/remigiusz-mroz,7.2,72295,123732,1987-01-15 00:00:00,7183,105,7
Stephen King,https://lubimyczytac.pl/autor/13997/stephen-king,7.1,123810,325311,1947-09-21 00:00:00,16428,183,7
Camilla Läckberg,https://lubimyczytac.pl/autor/31412/camilla-lackberg,7.4,46539,56899,1974-08-30 00:00:00,4529,41,0
Patrick Süskind,https://lubimyczytac.pl/autor/16001/patrick-suskind,7.0,31929,10963,1949-03-26 00:00:00,122,8,0
Aldous Huxley,https://lubimyczytac.pl/autor/30455/aldous-huxley,6.8,31453,29761,1894-07-26 00:00:00,513,38,0
Delia Owens,https://lubimyczytac.pl/autor/175585/delia-owens,7.9,26656,14653,1894-07-26 00:00:00,205,4,0
C.S. Lewis,https://lubimyczytac.pl/autor/8430/c-s-lewis,7.3,46836,42519,29.11.1898,1759,52,0
Frances Hodgson Burnett,https://lubimyczytac.pl/autor/16252/frances-hodgson-burnett,6.8,39087,6433,24.11.1849,229,20,0
Ernest Hemingway,https://lubimyczytac.pl/autor/23120/ernest-hemingway,6.8,42715,20140,21.07.1899,803,46,1
Agatha Christie,https://lubimyczytac.pl/autor/14083/agatha-christie,7.0,58293,132793,15.09.1890,6416,186,0
Jarosław Grzędowicz,https://lubimyczytac.pl/autor/3245/jaroslaw-grzedowicz,6.8,33252,39887,03.05.1965,2399,30,1
Aleksander Fredro,https://lubimyczytac.pl/autor/6241/aleksander-fredro,6.8,39186,3636,20.06.1793,160,124,0
Jojo Moyes,https://lubimyczytac.pl/autor/31130/jojo-moyes,7.0,33472,39220,04.08.1969,1411,20,2
Charles Dickens,https://lubimyczytac.pl/autor/13285/charles-dickens,7.1,40301,35661,07.02.1812,726,128,3
Witold Gombrowicz,https://lubimyczytac.pl/autor/5951/witold-gombrowicz,7.3,37104,21374,04.08.1904,1532,67,0
Johann Wolfgang von Goethe,https://lubimyczytac.pl/autor/22187/johann-wolfgang-von-goethe,7.0,36260,10709,28.08.1749,294,54,1
Irena Jurgielewiczowa,https://lubimyczytac.pl/autor/6284/irena-jurgielewiczowa,6.8,34571,2084,13.01.1903,75,16,0
Peter V. Brett,https://lubimyczytac.pl/autor/18930/peter-v-brett,7.9,16558,35167,08.02.1973,1345,25,0
Franz Kafka,https://lubimyczytac.pl/autor/18228/franz-kafka,7.4,33137,22488,03.07.1883,1193,63,1
Emily Jane Brontë,https://lubimyczytac.pl/autor/24634/emily-jane-bronte,8.5,26189,14224,30.07.1818,598,6,1
Frank Herbert,https://lubimyczytac.pl/autor/3481/frank-herbert,7.0,25771,34646,08.10.1920,1008,49,0
Simon Beckett,https://lubimyczytac.pl/autor/14005/simon-beckett,7.1,29417,32368,20.04.1968,2800,17,0
Gabriel García Márquez,https://lubimyczytac.pl/autor/17269/gabriel-garcia-marquez,7.1,35832,47074,06.03.1927,1896,39,1
Becca Fitzpatrick,https://lubimyczytac.pl/autor/30151/becca-fitzpatrick,7.4,32438,31363,03.02.1979,2288,9,0
Stefan Żeromski,https://lubimyczytac.pl/autor/6394/stefan-zeromski,6.4,47402,10399,14.10.1864,360,157,0
Barbara Rosiek,https://lubimyczytac.pl/autor/20097/barbara-rosiek,6.4,29257,11626,25.06.1959,400,18,0
Oscar Wilde,https://lubimyczytac.pl/autor/6944/oscar-wilde,7.6,25620,26289,16.10.1854,1003,113,0
Vladimir Nabokov,https://lubimyczytac.pl/autor/16199/vladimir-nabokov,7.4,27455,33721,22.04.1899,958,41,1
Helen Fielding,https://lubimyczytac.pl/autor/17211/helen-fielding,6.4,28405,10011,19.02.1958,216,8,0
Veronica Roth,https://lubimyczytac.pl/autor/49754/veronica-roth,7.2,30885,31080,19.08.1988,1376,27,0
Harlan Coben,https://lubimyczytac.pl/autor/18011/harlan-coben,7.2,61098,105380,04.01.1962,7097,53,0
Trudi Canavan,https://lubimyczytac.pl/autor/3275/trudi-canavan,7.3,29259,50630,23.10.1969,2763,27,0
Ken Kesey,https://lubimyczytac.pl/autor/30247/ken-kesey,6.7,23027,17361,17.09.1935,146,6,0
F. Scott Fitzgerald,https://lubimyczytac.pl/autor/22892/f-scott-fitzgerald,6.8,24880,19634,24.09.1896,401,56,1
Gustaw Herling-Grudziński,https://lubimyczytac.pl/autor/22914/gustaw-herling-grudzinski,7.5,27855,6475,20.05.1919,188,66,0
 Sofokles,https://lubimyczytac.pl/autor/13487/sofokles,7.3,39428,2297,01.01.0496,71,31,0
Joseph Conrad,https://lubimyczytac.pl/autor/20609/joseph-conrad,6.8,31102,14273,03.12.1857,361,100,1
Colleen Hoover,https://lubimyczytac.pl/autor/69326/colleen-hoover,7.6,48054,100104,11.12.1979,5278,28,2
Juliusz Słowacki,https://lubimyczytac.pl/autor/16114/juliusz-slowacki,6.9,41597,6453,04.09.1809,395,269,0
Heather Morris,https://lubimyczytac.pl/autor/165148/heather-morris,6.9,23223,10999,04.09.1809,66,6,1
Stanisław Wyspiański,https://lubimyczytac.pl/autor/15829/stanislaw-wyspianski,6.2,29218,2713,15.01.1869,117,79,0
Umberto Eco,https://lubimyczytac.pl/autor/10046/umberto-eco,7.2,29195,39190,05.01.1932,1148,69,0
Christopher Paolini,https://lubimyczytac.pl/autor/3217/christopher-paolini,7.1,25248,16918,17.11.1983,896,13,0
Hanna Krall,https://lubimyczytac.pl/autor/18463/hanna-krall,7.1,28714,12877,20.05.1935,252,39,0
Harper Lee,https://lubimyczytac.pl/autor/25155/harper-lee,7.6,21683,23427,28.04.1926,172,3,0
Alex Michaelides,https://lubimyczytac.pl/autor/175936/alex-michaelides,6.8,21469,8680,04.09.1977,184,5,1
Stanisław Lem,https://lubimyczytac.pl/autor/54/stanislaw-lem,7.4,38461,61013,12.09.1921,3454,173,0
Roman Pisarski,https://lubimyczytac.pl/autor/30760/roman-pisarski,7.2,27961,815,23.03.1912,16,12,0
Jo Nesbø,https://lubimyczytac.pl/autor/19183/jo-nesbo,7.3,46504,73210,29.03.1960,4695,30,0
Ferenc Molnár,https://lubimyczytac.pl/autor/6781/ferenc-molnar,7.2,25509,1557,12.01.1878,28,5,0
Nicholas Sparks,https://lubimyczytac.pl/autor/16809/nicholas-sparks,7.2,55214,96903,31.12.1965,6028,41,0
William Golding,https://lubimyczytac.pl/autor/25365/william-golding,6.6,20470,14752,19.09.1911,103,14,1
Jakub Żulczyk,https://lubimyczytac.pl/autor/16349/jakub-zulczyk,6.5,33050,36405,12.08.1983,1771,21,2
Zygmunt Miłoszewski,https://lubimyczytac.pl/autor/6132/zygmunt-miloszewski,6.9,35394,28887,08.05.1976,2269,28,2
Sławomir Mrożek,https://lubimyczytac.pl/autor/15913/slawomir-mrozek,7.4,26005,10680,29.06.1930,621,105,0
Milan Kundera,https://lubimyczytac.pl/autor/5417/milan-kundera,7.1,21669,33389,01.04.1929,1379,26,0
Wojciech Cejrowski,https://lubimyczytac.pl/autor/30246/wojciech-cejrowski,6.5,23354,10346,27.06.1964,1542,16,1
Wojciech Chmielarz,https://lubimyczytac.pl/autor/75284/wojciech-chmielarz,6.9,33641,39696,21.03.1984,2357,42,2
Jan Brzechwa,https://lubimyczytac.pl/autor/6418/jan-brzechwa,7.4,26481,3169,15.08.1898,231,251,0
Hanya Yanagihara,https://lubimyczytac.pl/autor/114290/hanya-yanagihara,7.3,17740,22863,20.08.1974,281,6,1
Kiera Cass,https://lubimyczytac.pl/autor/63767/kiera-cass,7.2,21189,27095,19.05.1981,1388,16,0
Kornel Makuszyński,https://lubimyczytac.pl/autor/6693/kornel-makuszynski,7.0,29190,5041,08.01.1884,278,83,0
Arthur Golden,https://lubimyczytac.pl/autor/23200/arthur-golden,7.5,18735,7940,01.01.1956,44,1,0
Rick Riordan,https://lubimyczytac.pl/autor/25135/rick-riordan,8.2,24016,70806,05.06.1964,3849,95,0
Lew Tołstoj,https://lubimyczytac.pl/autor/21142/lew-tolstoj,7.3,21740,36130,09.09.1828,932,105,1
Daniel Defoe,https://lubimyczytac.pl/autor/6669/daniel-defoe,6.4,20937,2630,22.09.1660,39,11,1
Andrzej Pilipiuk,https://lubimyczytac.pl/autor/3218/andrzej-pilipiuk,6.8,37300,61331,20.03.1974,3502,97,0
Władysław Stanisław Reymont,https://lubimyczytac.pl/autor/14870/wladyslaw-stanislaw-reymont,6.9,22620,8561,07.05.1867,220,65,0
Janusz Leon Wiśniewski,https://lubimyczytac.pl/autor/13967/janusz-leon-wisniewski,6.8,29764,26956,18.08.1954,1613,58,0
Zofia Nałkowska,https://lubimyczytac.pl/autor/23797/zofia-nalkowska,6.6,36075,7959,10.11.1884,145,52,0
Sarah J. Maas,https://lubimyczytac.pl/autor/74122/sarah-j-maas,7.8,27221,77204,05.03.1986,3745,38,2
Szczepan Twardoch,https://lubimyczytac.pl/autor/3472/szczepan-twardoch,6.5,27632,32727,23.12.1979,1491,39,3
Margaret Mitchell,https://lubimyczytac.pl/autor/30241/margaret-mitchell,8.0,14413,13110,08.11.1900,322,7,1
Margaret Atwood,https://lubimyczytac.pl/autor/17955/margaret-atwood,6.7,20591,28464,18.11.1939,569,51,2
Waris Dirie,https://lubimyczytac.pl/autor/25959/waris-dirie,7.0,19715,6480,01.01.1965,124,6,0
Andrzej Ziemiański,https://lubimyczytac.pl/autor/3300/andrzej-ziemianski,6.8,23194,30803,17.02.1960,1265,49,0
Haruki Murakami,https://lubimyczytac.pl/autor/14780/haruki-murakami,7.3,35954,62591,12.01.1949,4400,49,0
Kerstin Gier,https://lubimyczytac.pl/autor/32933/kerstin-gier,7.4,19736,27422,08.10.1966,1260,22,0
Gayle Forman,https://lubimyczytac.pl/autor/30985/gayle-forman,7.2,22447,24725,05.06.1970,693,15,1
Joanna Kuciel-Frydryszak,https://lubimyczytac.pl/autor/64308/joanna-kuciel-frydryszak,7.5,17337,14223,05.06.1970,172,5,1
Kristin Hannah,https://lubimyczytac.pl/autor/15047/kristin-hannah,6.9,23357,34345,25.09.1960,1155,32,2
Małgorzata Musierowicz,https://lubimyczytac.pl/autor/6050/malgorzata-musierowicz,7.0,35226,22937,09.01.1945,2911,66,1
Tess Gerritsen,https://lubimyczytac.pl/autor/19176/tess-gerritsen,7.1,32576,73047,12.06.1953,4293,46,0
Jan Parandowski,https://lubimyczytac.pl/autor/6554/jan-parandowski,6.7,21667,4292,11.05.1895,80,42,0
Katarzyna Nosowska,https://lubimyczytac.pl/autor/148069/katarzyna-nosowska,6.6,19119,4713,30.08.1971,156,4,2
Nancy H. Kleinbaum,https://lubimyczytac.pl/autor/17677/nancy-h-kleinbaum,7.3,16959,7353,01.01.1948,23,1,0
 Molier,https://lubimyczytac.pl/autor/22970/molier,6.9,31155,3588,15.01.1622,162,34,0
Charlotte Brontë,https://lubimyczytac.pl/autor/13282/charlotte-bronte,7.1,15422,18419,21.04.1816,683,17,1
John Flanagan,https://lubimyczytac.pl/autor/19013/john-flanagan,7.7,18474,44457,22.05.1944,2058,29,0
Cecelia Ahern,https://lubimyczytac.pl/autor/25751/cecelia-ahern,6.8,32388,30517,30.09.1981,1075,29,0
Thomas Harris,https://lubimyczytac.pl/autor/19939/thomas-harris,7.0,18822,19554,11.04.1940,695,7,0
Katarzyna Berenika Miszczuk,https://lubimyczytac.pl/autor/19159/katarzyna-berenika-miszczuk,7.1,31988,46899,02.09.1988,2436,48,4
Cormac McCarthy,https://lubimyczytac.pl/autor/19268/cormac-mccarthy,7.1,17432,26554,20.07.1933,894,17,1
Tahereh Mafi,https://lubimyczytac.pl/autor/62019/tahereh-mafi,7.5,19119,34050,przybliżona),1096,25,0
Yuval Noah Harari,https://lubimyczytac.pl/autor/103065/yuval-noah-harari,7.6,18536,37008,24.02.1976,649,13,0
Orson Scott Card,https://lubimyczytac.pl/autor/20831/orson-scott-card,6.8,17002,28393,24.08.1951,908,110,0
John Steinbeck,https://lubimyczytac.pl/autor/19863/john-steinbeck,7.1,23222,39455,27.02.1902,1219,37,1
Kristin Cast,https://lubimyczytac.pl/autor/6848/kristin-cast,6.9,19298,32834,04.11.1986,574,38,0
Aleksander Dumas,https://lubimyczytac.pl/autor/6328/aleksander-dumas,7.5,18432,25247,24.07.1802,698,112,1
Alan Alexander Milne,https://lubimyczytac.pl/autor/18275/alan-alexander-milne,7.4,20456,4814,18.01.1882,221,73,0
Joseph Heller,https://lubimyczytac.pl/autor/14879/joseph-heller,6.5,14138,15891,01.05.1923,209,11,0
William Wharton,https://lubimyczytac.pl/autor/15019/william-wharton,6.6,24382,19726,07.11.1925,1146,21,0
Jodi Picoult,https://lubimyczytac.pl/autor/19741/jodi-picoult,7.0,25335,56186,19.05.1966,2908,39,0
Paullina Simons,https://lubimyczytac.pl/autor/25772/paullina-simons,7.1,16015,22054,01.01.1963,841,20,0
Brandon Sanderson,https://lubimyczytac.pl/autor/30385/brandon-sanderson,7.5,22746,84138,19.12.1975,3149,94,0
Khaled Hosseini,https://lubimyczytac.pl/autor/25386/khaled-hosseini,7.8,17300,22273,04.03.1965,858,4,0
Olga Tokarczuk,https://lubimyczytac.pl/autor/14259/olga-tokarczuk,6.8,38730,48773,29.01.1962,2229,42,3
Katarzyna Puzyńska,https://lubimyczytac.pl/autor/95374/katarzyna-puzynska,7.0,20776,29882,19.02.1985,1889,34,0
James Dashner,https://lubimyczytac.pl/autor/43173/james-dashner,7.4,15178,25211,26.11.1972,710,18,0
Robert Galbraith,https://lubimyczytac.pl/autor/89313/robert-galbraith,7.5,15839,17631,31.07.1965,744,8,0
Andy Weir,https://lubimyczytac.pl/autor/79487/andy-weir,7.1,15655,9198,16.06.1972,289,8,0
Sylvia Plath,https://lubimyczytac.pl/autor/30237/sylvia-plath,7.7,13459,17574,27.10.1932,835,25,0
Anne Rice,https://lubimyczytac.pl/autor/14222/anne-rice,6.5,18448,37272,04.10.1941,1278,46,0
Blanka Lipińska,https://lubimyczytac.pl/autor/167231/blanka-lipinska,5.6,13915,3345,przybliżona),280,5,0
Richard Bachman,https://lubimyczytac.pl/autor/41433/richard-bachman,6.8,20670,11544,21.09.1947,322,8,0
Zygmunt Krasiński,https://lubimyczytac.pl/autor/24779/zygmunt-krasinski,6.9,18117,3041,19.02.1812,53,64,0
Katarzyna Bonda,https://lubimyczytac.pl/autor/14572/katarzyna-bonda,6.9,31880,39022,przybliżona),1908,43,0
Lewis Carroll,https://lubimyczytac.pl/autor/25011/lewis-carroll,7.5,16224,6705,27.01.1832,210,49,0
Neil Gaiman,https://lubimyczytac.pl/autor/14260/neil-gaiman,6.7,41798,74357,10.11.1960,3077,181,1
Arthur Conan Doyle,https://lubimyczytac.pl/autor/17308/arthur-conan-doyle,7.2,30243,41340,22.05.1859,1972,249,1
Winston Groom,https://lubimyczytac.pl/autor/22780/winston-groom,6.5,13235,6636,23.03.1943,52,10,0
Kurt Vonnegut,https://lubimyczytac.pl/autor/16435/kurt-vonnegut,7.1,20694,32043,11.11.1922,1637,48,0
Holly Black,https://lubimyczytac.pl/autor/6084/holly-black,7.0,17838,34454,10.11.1971,770,64,0
Viktor E. Frankl,https://lubimyczytac.pl/autor/31692/viktor-e-frankl,7.2,12014,15115,26.03.1905,194,14,0
Anna Todd,https://lubimyczytac.pl/autor/106068/anna-todd,6.6,14030,16407,przybliżona),591,14,0
Mark Twain,https://lubimyczytac.pl/autor/6103/mark-twain,6.9,20997,8121,30.11.1835,314,85,1
Jacek Piekara,https://lubimyczytac.pl/autor/3242/jacek-piekara,6.4,25233,44139,19.05.1965,2043,58,0
Victoria Aveyard,https://lubimyczytac.pl/autor/104005/victoria-aveyard,6.7,12946,22067,19.05.1965,545,9,1
Maria Krüger,https://lubimyczytac.pl/autor/6371/maria-kruger,6.9,19646,2415,06.09.1904,66,29,0
Justyna Kopińska,https://lubimyczytac.pl/autor/111260/justyna-kopinska,7.1,16758,15072,06.09.1904,534,6,1
Eliza Orzeszkowa,https://lubimyczytac.pl/autor/6993/eliza-orzeszkowa,6.7,23217,6479,06.06.1841,201,171,0
Terry Pratchett,https://lubimyczytac.pl/autor/3221/terry-pratchett,7.4,36760,107286,28.04.1948,5401,166,0
Przemysław Piotrowski,https://lubimyczytac.pl/autor/111252/przemyslaw-piotrowski,7.5,15237,20687,05.06.1982,1526,18,1
Virginia Cleo Andrews,https://lubimyczytac.pl/autor/30861/virginia-cleo-andrews,7.0,13089,21198,06.06.1923,517,35,0
Jay Asher,https://lubimyczytac.pl/autor/59879/jay-asher,6.7,13733,7592,30.09.1975,78,5,0
David Lagercrantz,https://lubimyczytac.pl/autor/46804/david-lagercrantz,6.5,15858,9795,04.09.1962,109,10,0
Carlo Collodi,https://lubimyczytac.pl/autor/6762/carlo-collodi,6.9,15797,650,24.11.1826,11,8,0
Erich Maria Remarque,https://lubimyczytac.pl/autor/30164/erich-maria-remarque,7.3,15678,23955,22.06.1898,946,19,0
Adam Kay,https://lubimyczytac.pl/autor/157294/adam-kay,7.7,12437,6477,12.06.1980,116,10,1
Jakub Ćwiek,https://lubimyczytac.pl/autor/3246/jakub-cwiek,6.7,23629,37399,24.06.1982,1538,85,0
Lauren Weisberger,https://lubimyczytac.pl/autor/23182/lauren-weisberger,5.6,14346,7602,28.03.1977,147,10,0
Dorota Terakowska,https://lubimyczytac.pl/autor/12452/dorota-terakowska,6.8,26866,14902,30.08.1938,1091,20,0
Richelle Mead,https://lubimyczytac.pl/autor/30688/richelle-mead,7.5,15596,36282,12.01.1976,1728,38,0
Joanna Bator,https://lubimyczytac.pl/autor/30770/joanna-bator,6.8,18269,24927,02.02.1968,934,24,1
Gregory David Roberts,https://lubimyczytac.pl/autor/32116/gregory-david-roberts,7.1,10713,12073,01.06.1952,92,3,0
Sylvia June Day,https://lubimyczytac.pl/autor/54478/sylvia-june-day,6.9,14126,16672,11.03.1973,743,28,0
Toshikazu Kawaguchi,https://lubimyczytac.pl/autor/187020/toshikazu-kawaguchi,7.2,10927,10901,03.04.1971,109,6,2
Dan Simmons,https://lubimyczytac.pl/autor/3238/dan-simmons,7.0,15689,39889,04.04.1948,1032,44,0
Ken Follett,https://lubimyczytac.pl/autor/19312/ken-follett,7.1,18650,34279,05.06.1949,1479,43,0
Fiodor Dostojewski,https://lubimyczytac.pl/autor/23948/fiodor-dostojewski,7.7,65510,65842,30.10.1821,3430,81,2
Ryszard Kapuściński,https://lubimyczytac.pl/autor/17316/ryszard-kapuscinski,7.1,23662,30102,04.03.1932,1629,62,1
Maja Lidia Kossakowska,https://lubimyczytac.pl/autor/3279/maja-lidia-kossakowska,6.7,17111,34028,27.02.1972,1483,47,0
David Nicholls,https://lubimyczytac.pl/autor/17181/david-nicholls,6.5,11057,8596,30.11.1966,132,7,0
Wiesław Myśliwski,https://lubimyczytac.pl/autor/15992/wieslaw-mysliwski,7.7,15486,33554,25.03.1932,1598,22,4
Lauren Oliver,https://lubimyczytac.pl/autor/43175/lauren-oliver,7.6,16870,29411,25.03.1932,956,18,0
Ursula K. Le Guin,https://lubimyczytac.pl/autor/17930/ursula-k-le-guin,7.2,17751,33619,21.10.1929,1010,100,0
Christi Daugherty,https://lubimyczytac.pl/autor/71743/christi-daugherty,8.0,13665,21815,30.10.1974,955,13,0
Joseph Murphy,https://lubimyczytac.pl/autor/8168/joseph-murphy,6.5,11972,9287,20.05.1898,189,61,0
Ransom Riggs,https://lubimyczytac.pl/autor/61441/ransom-riggs,7.4,11099,15857,20.05.1898,285,9,0
Leigh Bardugo,https://lubimyczytac.pl/autor/69633/leigh-bardugo,7.3,19054,39615,06.04.1975,1413,23,0
Gustave Flaubert,https://lubimyczytac.pl/autor/23361/gustave-flaubert,6.9,11596,9987,12.12.1821,124,23,2
Ray Bradbury,https://lubimyczytac.pl/autor/3604/ray-bradbury,7.0,13918,19147,22.08.1920,227,88,0
Victor Hugo,https://lubimyczytac.pl/autor/31492/victor-hugo,7.2,10461,17399,26.02.1802,475,39,1
Chuck Palahniuk,https://lubimyczytac.pl/autor/16557/chuck-palahniuk,6.5,12710,17194,21.02.1962,878,64,0
Yann Martel,https://lubimyczytac.pl/autor/22912/yann-martel,6.4,11045,7916,25.06.1963,91,7,1
Rebecca Yarros,https://lubimyczytac.pl/autor/100421/rebecca-yarros,7.7,12666,15895,25.06.1963,606,26,1
Gillian Flynn,https://lubimyczytac.pl/autor/15991/gillian-flynn,6.8,15138,14176,24.02.1971,479,6,0
Joseph Bédier,https://lubimyczytac.pl/autor/31580/joseph-bedier,5.8,13147,1233,28.01.1864,4,3,0
Maria Konopnicka,https://lubimyczytac.pl/autor/6365/maria-konopnicka,6.3,22680,3791,23.05.1842,86,340,0
William Paul Young,https://lubimyczytac.pl/autor/16139/william-paul-young,5.5,10321,4872,11.05.1955,83,5,0
Katarzyna Grochola,https://lubimyczytac.pl/autor/13350/katarzyna-grochola,6.3,25519,15173,18.07.1957,945,41,0
Lauren Kate,https://lubimyczytac.pl/autor/31635/lauren-kate,6.9,12882,22703,18.07.1957,634,16,0
Rebecca F. Kuang,https://lubimyczytac.pl/autor/171328/rebecca-f-kuang,7.4,14197,18644,29.05.1996,436,11,1
Jonas Jonasson,https://lubimyczytac.pl/autor/60468/jonas-jonasson,6.6,10417,7432,01.01.1962,129,7,0
Joanna Chmielewska,https://lubimyczytac.pl/autor/6712/joanna-chmielewska,6.9,24411,36321,02.04.1932,2661,99,0
Philip K. Dick,https://lubimyczytac.pl/autor/15544/philip-k-dick,7.0,20205,38701,16.12.1928,1888,104,0
Piotr C.,https://lubimyczytac.pl/autor/66882/piotr-c,6.2,13317,5918,przybliżona),222,9,0
Truman Capote,https://lubimyczytac.pl/autor/16786/truman-capote,7.0,14272,14877,30.09.1924,321,26,0
Gabriela Zapolska,https://lubimyczytac.pl/autor/18973/gabriela-zapolska,6.1,13172,3744,30.03.1857,69,89,0
Jostein Gaarder,https://lubimyczytac.pl/autor/20437/jostein-gaarder,6.8,15359,10704,08.08.1952,326,20,0
Cixin Liu,https://lubimyczytac.pl/autor/106322/cixin-liu,7.6,9790,14094,przybliżona),365,17,2
Jakub Małecki,https://lubimyczytac.pl/autor/30658/jakub-malecki,6.8,26820,39253,25.01.1982,2081,36,1
Lucinda Riley,https://lubimyczytac.pl/autor/63837/lucinda-riley,8.1,14332,31526,16.02.1965,947,26,1
John Boyne,https://lubimyczytac.pl/autor/17275/john-boyne,7.7,12460,16873,30.04.1971,152,19,0
Fredrik Backman,https://lubimyczytac.pl/autor/99533/fredrik-backman,7.9,11600,11945,02.06.1981,462,13,0
Lisa Jane Smith,https://lubimyczytac.pl/autor/6177/lisa-jane-smith,6.7,17604,27667,03.04.1965,827,39,0
Hermann Hesse,https://lubimyczytac.pl/autor/16103/hermann-hesse,7.5,12765,19082,02.07.1877,847,40,0
Paulina Świst,https://lubimyczytac.pl/autor/144166/paulina-swist,7.1,15484,11481,27.09.1986,1064,28,0
Sławomir Gortych,https://lubimyczytac.pl/autor/231269/slawomir-gortych,8.3,8870,10047,27.09.1986,869,4,2
Marc Elsberg,https://lubimyczytac.pl/autor/85125/marc-elsberg,6.5,11251,12960,03.01.1967,271,7,0
