author_name,author_url,author_average_rating,author_number_of_people_read,author_number_of_people_wants_to_read,author_date_of_birth,author_number_of_fans,author_number_of_books_written,author_number_of_awards
Pat Conroy,https://lubimyczytac.pl/autor/22862/pat-conroy,6.9,1081,2009,28.10.1945,62,8,0
Gloria Polo,https://lubimyczytac.pl/autor/37065/gloria-polo,7.4,665,237,Unknown,3,1,0
John Maxwell Coetzee,https://lubimyczytac.pl/autor/22478/john-maxwell-coetzee,7.0,7905,11332,09.02.1940,414,31,2
Adrian Tchaikovsky,https://lubimyczytac.pl/autor/30375/adrian-tchaikovsky,7.5,1240,5826,Unknown,73,54,1
Andrea Maria Schenkel,https://lubimyczytac.pl/autor/17970/andrea-maria-schenkel,5.2,626,145,21.03.1962,2,2,0
Nancy Farmer,https://lubimyczytac.pl/autor/3569/nancy-farmer,7.5,857,600,Unknown,20,6,0
Zhou Weihui,https://lubimyczytac.pl/autor/17050/zhou-weihui,5.3,770,264,01.01.1973,12,2,0
Peter Pezzelli,https://lubimyczytac.pl/autor/34456/peter-pezzelli,6.5,1265,1391,28.01.1959,44,8,0
Emily Maguire,https://lubimyczytac.pl/autor/25989/emily-maguire,6.4,670,507,Unknown,1,6,0
Elizabeth Haydon,https://lubimyczytac.pl/autor/3503/elizabeth-haydon,6.5,1133,1563,Unknown,42,13,0
Tite Kubo,https://lubimyczytac.pl/autor/43192/tite-kubo,7.8,960,3163,26.06.1977,70,80,0
Ewa Maria Ostrowska,https://lubimyczytac.pl/autor/19402/ewa-maria-ostrowska,6.7,3722,3391,24.12.1938,69,55,0
Arthur Rimbaud,https://lubimyczytac.pl/autor/24943/arthur-rimbaud,7.8,1015,1769,20.10.1854,223,22,0
Vicki Myron,https://lubimyczytac.pl/autor/31153/vicki-myron,6.7,736,597,przybliżona),3,2,0
Tomasz Pacyński,https://lubimyczytac.pl/autor/3805/tomasz-pacynski,6.4,3084,3382,04.02.1958,33,10,0
Alan Sillitoe,https://lubimyczytac.pl/autor/32011/alan-sillitoe,6.2,742,645,04.03.1928,8,11,0
Alexandra Horowitz,https://lubimyczytac.pl/autor/41157/alexandra-horowitz,6.9,728,1106,Unknown,3,4,0
Olga Morawska,https://lubimyczytac.pl/autor/38319/olga-morawska,5.8,1368,1299,03.04.1976,11,10,0
Larry Engelmann,https://lubimyczytac.pl/autor/46760/larry-engelmann,7.4,665,558,Unknown,0,1,0
Leila Aboulela,https://lubimyczytac.pl/autor/32552/leila-aboulela,6.0,1204,1163,01.01.1964,15,8,0
Martha Grimes,https://lubimyczytac.pl/autor/14045/martha-grimes,6.5,1528,1768,01.05.1931,100,28,0
Philip Athans,https://lubimyczytac.pl/autor/3551/philip-athans,5.8,1113,629,01.01.1964,1,11,0
Tom B. Stone,https://lubimyczytac.pl/autor/30790/tom-b-stone,6.1,1896,2174,Unknown,48,28,0
Jacqueline Pascarl-Gillespie,https://lubimyczytac.pl/autor/31505/jacqueline-pascarl-gillespie,6.8,727,638,05.07.1963,7,2,0
Nik Pierumow,https://lubimyczytac.pl/autor/23198/nik-pierumow,6.7,1224,1891,21.11.1963,36,15,0
Allen Ginsberg,https://lubimyczytac.pl/autor/35161/allen-ginsberg,7.6,1096,4266,03.06.1926,153,26,0
Guy Grieve,https://lubimyczytac.pl/autor/34302/guy-grieve,6.9,684,783,Unknown,3,2,0
Jackie Stevens,https://lubimyczytac.pl/autor/6321/jackie-stevens,6.2,1930,652,Unknown,21,11,0
Katarzyna Enerlich,https://lubimyczytac.pl/autor/30605/katarzyna-enerlich,6.8,1931,4036,Unknown,130,26,0
Akira Toriyama,https://lubimyczytac.pl/autor/37812/akira-toriyama,7.8,1029,3187,05.04.1955,86,134,0
Frederik Pohl,https://lubimyczytac.pl/autor/20256/frederik-pohl,6.9,1948,4157,26.11.1919,29,83,0
Irena Zarzycka,https://lubimyczytac.pl/autor/31667/irena-zarzycka,6.3,733,264,05.05.1900,13,15,0
Nick Cave,https://lubimyczytac.pl/autor/24525/nick-cave,7.4,1248,1340,22.09.1957,75,9,0
Lea Jacobson,https://lubimyczytac.pl/autor/32408/lea-jacobson,6.0,653,379,Unknown,0,1,0
Romain Rolland,https://lubimyczytac.pl/autor/18406/romain-rolland,7.0,761,1039,29.01.1866,21,15,0
Ali Nadżud,https://lubimyczytac.pl/autor/31282/ali-nadzud,6.8,747,536,Unknown,1,1,0
Karolina Macios,https://lubimyczytac.pl/autor/19831/karolina-macios,6.6,1716,997,Unknown,23,8,0
Friedrich Schiller,https://lubimyczytac.pl/autor/39998/friedrich-schiller,6.8,1148,1070,10.11.1759,30,42,0
José Carlos Somoza,https://lubimyczytac.pl/autor/15268/jose-carlos-somoza,6.5,1860,2985,13.11.1959,129,13,0
Janette Rallison,https://lubimyczytac.pl/autor/6551/janette-rallison,7.7,1179,845,Unknown,37,7,0
Mitsukazu Mihara,https://lubimyczytac.pl/autor/30322/mitsukazu-mihara,6.2,956,822,17.10.1970,33,18,0
Janusz Poniewierski,https://lubimyczytac.pl/autor/40030/janusz-poniewierski,7.0,872,436,01.01.1958,1,8,0
Stanisław Dziwisz,https://lubimyczytac.pl/autor/14107/stanislaw-dziwisz,4.3,785,179,27.04.1939,4,13,0
Mary Balogh,https://lubimyczytac.pl/autor/17394/mary-balogh,6.6,2052,4238,24.03.1944,140,40,0
 Wergiliusz,https://lubimyczytac.pl/autor/36906/wergiliusz,6.5,841,941,15.10.0070,21,11,0
Michael Ledwidge,https://lubimyczytac.pl/autor/14569/michael-ledwidge,6.4,1927,1419,01.01.1971,1,12,0
S. Andrew Swann,https://lubimyczytac.pl/autor/40885/s-andrew-swann,6.6,711,681,Unknown,2,5,0
Patricio Sturlese,https://lubimyczytac.pl/autor/33663/patricio-sturlese,6.7,622,285,Unknown,5,1,0
Vladimir Wolff,https://lubimyczytac.pl/autor/35970/vladimir-wolff,6.7,1507,3511,Unknown,115,34,0
Maxine Paetro,https://lubimyczytac.pl/autor/22896/maxine-paetro,6.9,1980,1909,Unknown,2,17,0
Katherine Ashenburg,https://lubimyczytac.pl/autor/4061/katherine-ashenburg,6.5,603,710,Unknown,1,1,0
Francesca Simon,https://lubimyczytac.pl/autor/6250/francesca-simon,7.0,2552,1753,23.02.1955,39,104,0
Kamil C. Alster,https://lubimyczytac.pl/autor/39841/kamil-c-alster,6.4,717,619,Unknown,0,1,0
David Schickler,https://lubimyczytac.pl/autor/26019/david-schickler,5.9,731,258,30.07.1969,4,3,0
 Eurypides,https://lubimyczytac.pl/autor/19984/eurypides,7.6,1305,993,01.01.0480,28,26,0
Bente Pedersen,https://lubimyczytac.pl/autor/3873/bente-pedersen,6.9,1089,3393,Unknown,24,115,0
Sarah Mlynowski,https://lubimyczytac.pl/autor/24047/sarah-mlynowski,6.6,2770,2153,04.01.1977,13,20,0
Mike Resnick,https://lubimyczytac.pl/autor/3643/mike-resnick,7.1,2274,3444,05.03.1942,60,67,0
Jean-Louis Fournier,https://lubimyczytac.pl/autor/31253/jean-louis-fournier,7.1,602,400,19.12.1938,5,18,0
Dorota Sumińska,https://lubimyczytac.pl/autor/8396/dorota-suminska,6.9,2465,3756,Unknown,92,31,0
Hank Moody,https://lubimyczytac.pl/autor/41587/hank-moody,4.9,583,288,Unknown,3,1,0
Jan van Helsing,https://lubimyczytac.pl/autor/53789/jan-van-helsing,6.1,722,1053,23.03.1967,31,7,0
Elizabeth Goudge,https://lubimyczytac.pl/autor/33741/elizabeth-goudge,6.5,692,295,24.04.1900,10,1,0
Giorgio Faletti,https://lubimyczytac.pl/autor/20391/giorgio-faletti,6.6,884,786,25.11.1950,31,6,0
Jill Smolinski,https://lubimyczytac.pl/autor/23213/jill-smolinski,5.9,875,666,Unknown,5,3,0
Junot Díaz,https://lubimyczytac.pl/autor/31270/junot-diaz,6.9,656,1135,31.12.1968,6,4,1
Walter Scott,https://lubimyczytac.pl/autor/6322/walter-scott,6.8,1546,3051,15.08.1771,51,31,1
Julia Kamińska,https://lubimyczytac.pl/autor/31389/julia-kaminska,5.6,639,87,13.11.1987,5,1,0
Anne Fadiman,https://lubimyczytac.pl/autor/30983/anne-fadiman,7.8,596,928,07.08.1953,26,3,0
Dorothy Koomson,https://lubimyczytac.pl/autor/34028/dorothy-koomson,7.0,1247,1567,01.01.1971,40,15,0
Rubén David González Gallego,https://lubimyczytac.pl/autor/22078/ruben-david-gonzalez-gallego,7.4,631,671,Unknown,7,2,0
Tomasz Lem,https://lubimyczytac.pl/autor/32693/tomasz-lem,7.1,682,376,przybliżona),0,2,0
Marjorie M. Liu,https://lubimyczytac.pl/autor/40457/marjorie-m-liu,7.0,1178,2227,Unknown,17,90,0
Guy Gavriel Kay,https://lubimyczytac.pl/autor/19688/guy-gavriel-kay,7.3,1508,4002,07.11.1954,95,15,0
Michalina Olszańska,https://lubimyczytac.pl/autor/33248/michalina-olszanska,6.0,873,442,29.06.1992,19,3,0
Geoffrey Huntington,https://lubimyczytac.pl/autor/3287/geoffrey-huntington,6.9,762,337,07.08.1963,22,3,0
Danuta Konwicka,https://lubimyczytac.pl/autor/82652/danuta-konwicka,7.0,819,320,03.02.1930,1,4,0
Hino Matsuri,https://lubimyczytac.pl/autor/40221/hino-matsuri,7.1,739,1236,Unknown,33,20,0
Patricia Marvell,https://lubimyczytac.pl/autor/31705/patricia-marvell,6.2,1473,337,Unknown,10,6,0
Ally Carter,https://lubimyczytac.pl/autor/32117/ally-carter,7.2,3717,4720,Unknown,34,17,0
Jean Hatzfeld,https://lubimyczytac.pl/autor/32810/jean-hatzfeld,6.9,1547,3781,przybliżona),26,7,1
David Servan-Schreiber,https://lubimyczytac.pl/autor/29599/david-servan-schreiber,7.2,716,1108,21.04.1961,8,6,0
Krzysztof Czarnota,https://lubimyczytac.pl/autor/15048/krzysztof-czarnota,7.1,719,550,Unknown,12,8,0
Elia Kazan,https://lubimyczytac.pl/autor/24813/elia-kazan,7.0,1036,1028,07.09.1909,29,8,0
Bisco Hatori,https://lubimyczytac.pl/autor/38424/bisco-hatori,7.7,750,910,30.08.1975,27,22,0
Deborah Curtis,https://lubimyczytac.pl/autor/17625/deborah-curtis,6.9,636,480,01.01.1957,0,1,0
Maria Buyno-Arctowa,https://lubimyczytac.pl/autor/30204/maria-buyno-arctowa,7.2,1114,378,16.07.1877,18,17,0
Reva Mann,https://lubimyczytac.pl/autor/40503/reva-mann,6.7,581,694,01.01.1957,5,1,0
Kate Andrews,https://lubimyczytac.pl/autor/6370/kate-andrews,5.7,849,116,Unknown,0,4,0
Patrick Carman,https://lubimyczytac.pl/autor/6506/patrick-carman,6.3,1130,1129,27.02.1966,22,12,0
Anna Bolecka,https://lubimyczytac.pl/autor/23325/anna-bolecka,6.4,1124,1301,01.01.1951,5,12,0
Javier Moro,https://lubimyczytac.pl/autor/25787/javier-moro,6.8,668,517,Unknown,3,4,0
Sandra Brown,https://lubimyczytac.pl/autor/14806/sandra-brown,6.6,5082,9523,12.03.1949,294,73,0
Janusz Przymanowski,https://lubimyczytac.pl/autor/23017/janusz-przymanowski,6.1,996,534,20.01.1922,10,48,0
Jan Atmański,https://lubimyczytac.pl/autor/43321/jan-atmanski,6.3,638,325,Unknown,0,1,0
Kazimierz Sejda,https://lubimyczytac.pl/autor/31809/kazimierz-sejda,7.2,581,223,01.01.1900,2,1,0
Syrie James,https://lubimyczytac.pl/autor/31561/syrie-james,7.4,601,475,Unknown,0,2,0
Kathleen Duey,https://lubimyczytac.pl/autor/3937/kathleen-duey,7.0,634,724,Unknown,17,4,0
Rafał Chojnacki,https://lubimyczytac.pl/autor/31429/rafal-chojnacki,7.2,843,1102,Unknown,0,9,0
Elias Canetti,https://lubimyczytac.pl/autor/4503/elias-canetti,7.1,826,2163,25.07.1905,41,15,0
Poul Anderson,https://lubimyczytac.pl/autor/19282/poul-anderson,6.4,2839,5058,25.11.1926,29,127,0
Anthony Bourdain,https://lubimyczytac.pl/autor/31386/anthony-bourdain,7.0,929,1122,25.06.1956,35,11,0
Linda Holeman,https://lubimyczytac.pl/autor/25912/linda-holeman,7.3,1151,1593,Unknown,29,4,0
Robert E. Howard,https://lubimyczytac.pl/autor/33045/robert-e-howard,6.8,3156,4565,22.01.1906,196,112,0
Hidekaz Himaruya,https://lubimyczytac.pl/autor/40628/hidekaz-himaruya,7.3,739,352,08.05.1985,29,12,0
Stephen Davis,https://lubimyczytac.pl/autor/35139/stephen-davis,7.3,1122,922,Unknown,4,4,0
Ian Fraiser 'Lemmy' Kilmister,https://lubimyczytac.pl/autor/30749/ian-fraiser-lemmy-kilmister,7.0,548,255,24.12.1945,9,2,0
John Twelve Hawks,https://lubimyczytac.pl/autor/19472/john-twelve-hawks,7.4,624,380,Unknown,16,4,0
Seweryn Goszczyński,https://lubimyczytac.pl/autor/6266/seweryn-goszczynski,7.1,1014,617,04.11.1801,3,14,0
Michał Kruszona,https://lubimyczytac.pl/autor/16566/michal-kruszona,6.3,733,547,11.07.1964,4,9,1
Patsy Brooks,https://lubimyczytac.pl/autor/6653/patsy-brooks,6.1,1814,501,Unknown,8,9,0
Aleksander Minkowski,https://lubimyczytac.pl/autor/30439/aleksander-minkowski,6.3,3341,1172,27.02.1933,48,67,0
Jill Mansell,https://lubimyczytac.pl/autor/23412/jill-mansell,6.5,1589,1944,Unknown,54,24,0
Jayne Ann Krentz,https://lubimyczytac.pl/autor/20179/jayne-ann-krentz,6.4,2873,5427,28.03.1948,163,84,0
Natalie Fields,https://lubimyczytac.pl/autor/6440/natalie-fields,6.1,1952,628,Unknown,18,11,0
Alexandra Bullen,https://lubimyczytac.pl/autor/38491/alexandra-bullen,6.6,791,1003,Unknown,14,2,0
Elizabeth Kim,https://lubimyczytac.pl/autor/31300/elizabeth-kim,7.1,610,377,01.01.1953,1,1,0
Aleksander Rudazow,https://lubimyczytac.pl/autor/3355/aleksander-rudazow,7.1,605,277,01.04.1981,9,3,0
Horace Walpole,https://lubimyczytac.pl/autor/35010/horace-walpole,7.6,607,735,24.09.1717,5,4,0
Tracey Murkett,https://lubimyczytac.pl/autor/40584/tracey-murkett,6.6,622,164,Unknown,1,2,0
Aleksander Krawczuk,https://lubimyczytac.pl/autor/17104/aleksander-krawczuk,7.1,2253,3893,07.06.1922,160,43,0
Jerzy Gąssowski,https://lubimyczytac.pl/autor/30607/jerzy-gassowski,6.9,803,1338,23.08.1926,9,29,0
Maria Pawlikowska-Jasnorzewska,https://lubimyczytac.pl/autor/22572/maria-pawlikowska-jasnorzewska,7.5,3578,3538,24.11.1891,431,107,0
Jonathan Aycliffe,https://lubimyczytac.pl/autor/14043/jonathan-aycliffe,7.1,830,785,przybliżona),22,2,0
David Moody,https://lubimyczytac.pl/autor/19101/david-moody,6.3,577,411,19.11.1970,8,4,0
Małgorzata Szejnert,https://lubimyczytac.pl/autor/4222/malgorzata-szejnert,6.9,2016,5261,28.05.1936,64,18,2
Ian R. MacLeod,https://lubimyczytac.pl/autor/20187/ian-r-macleod,6.8,1408,4391,01.01.1956,30,12,0
Mary Higgins Clark,https://lubimyczytac.pl/autor/31555/mary-higgins-clark,6.5,4227,5872,24.12.1927,185,70,0
Jerzy Krzysztoń,https://lubimyczytac.pl/autor/31017/jerzy-krzyszton,7.4,751,2190,23.03.1931,32,19,0
James White,https://lubimyczytac.pl/autor/3474/james-white,7.0,814,1226,07.04.1928,23,39,0
Peter Green,https://lubimyczytac.pl/autor/21658/peter-green,7.5,548,768,Unknown,3,3,0
Karen Rose,https://lubimyczytac.pl/autor/14044/karen-rose,7.2,1178,1491,Unknown,74,14,0
Siergiej Sadow,https://lubimyczytac.pl/autor/3273/siergiej-sadow,7.2,895,1157,01.01.1975,29,4,0
Piotr Pawłowicz Jerszow,https://lubimyczytac.pl/autor/30759/piotr-pawlowicz-jerszow,7.6,666,101,06.03.1815,1,1,0
Michael Azerrad,https://lubimyczytac.pl/autor/30244/michael-azerrad,7.6,684,292,Unknown,0,2,0
Ewa Matuszewska,https://lubimyczytac.pl/autor/20799/ewa-matuszewska,7.2,1006,1098,Unknown,1,4,0
Marthe Blau,https://lubimyczytac.pl/autor/24588/marthe-blau,4.9,525,251,Unknown,1,1,0
Katherine Neville,https://lubimyczytac.pl/autor/19970/katherine-neville,6.3,817,700,04.04.1945,12,4,0
Ouarda Saillo,https://lubimyczytac.pl/autor/30567/ouarda-saillo,7.1,583,342,24.01.1974,3,1,0
Cornelius Ryan,https://lubimyczytac.pl/autor/20296/cornelius-ryan,7.7,789,975,05.06.1920,33,4,0
Anne Cassidy,https://lubimyczytac.pl/autor/6484/anne-cassidy,7.6,1085,862,Unknown,21,10,0
Manula Kalicka,https://lubimyczytac.pl/autor/22682/manula-kalicka,6.1,3774,3674,25.03.1952,26,15,0
Dominika Stec,https://lubimyczytac.pl/autor/21991/dominika-stec,5.8,1731,1238,Unknown,10,7,0
Jean-Pierre Davidts,https://lubimyczytac.pl/autor/32147/jean-pierre-davidts,6.1,675,183,01.01.1950,1,1,0
Kai Hermann,https://lubimyczytac.pl/autor/30998/kai-hermann,7.0,42132,8703,29.01.1938,4,2,0
Agnieszka Tomaszewska,https://lubimyczytac.pl/autor/27760/agnieszka-tomaszewska,7.5,592,1045,Unknown,66,2,0
Gianrico Carofiglio,https://lubimyczytac.pl/autor/13988/gianrico-carofiglio,6.6,1121,1638,30.05.1961,46,23,0
Patricia A. McKillip,https://lubimyczytac.pl/autor/3627/patricia-a-mckillip,7.1,1001,1577,29.02.1948,30,15,1
Michael Farquhar,https://lubimyczytac.pl/autor/17164/michael-farquhar,5.7,698,508,Unknown,0,6,0
Zina Rohan,https://lubimyczytac.pl/autor/23138/zina-rohan,6.6,543,352,Unknown,5,1,0
Sidney Sheldon,https://lubimyczytac.pl/autor/16824/sidney-sheldon,6.9,2054,2374,11.02.1917,140,22,0
Tomasz Jachimek,https://lubimyczytac.pl/autor/40919/tomasz-jachimek,6.8,704,352,11.10.1973,6,3,0
Andrzej Bart,https://lubimyczytac.pl/autor/20694/andrzej-bart,6.3,1027,737,Unknown,13,10,0
Paul Johnston,https://lubimyczytac.pl/autor/19029/paul-johnston,7.0,566,325,przybliżona),3,4,0
Ewa Siarkiewicz,https://lubimyczytac.pl/autor/14392/ewa-siarkiewicz,5.7,1005,684,Unknown,10,10,0
Joris-Karl Huysmans,https://lubimyczytac.pl/autor/31476/joris-karl-huysmans,7.5,710,1491,05.02.1848,26,8,0
James Redfield,https://lubimyczytac.pl/autor/29896/james-redfield,7.4,603,811,19.03.1950,17,10,0
Rafael Sabatini,https://lubimyczytac.pl/autor/31488/rafael-sabatini,7.1,611,710,29.04.1875,15,13,0
Ida Fink,https://lubimyczytac.pl/autor/24764/ida-fink,7.1,955,1300,01.11.1921,29,6,0
Sally Nicholls,https://lubimyczytac.pl/autor/30159/sally-nicholls,7.0,783,693,22.06.1983,4,6,0
Young Kim,https://lubimyczytac.pl/autor/42555/young-kim,7.0,618,454,Unknown,2,5,0
Alan Bennett,https://lubimyczytac.pl/autor/31824/alan-bennett,6.4,516,478,09.05.1934,3,12,0
Rafał W. Orkan,https://lubimyczytac.pl/autor/3477/rafal-w-orkan,6.5,1389,1710,10.04.1980,44,10,0
Jacques Chessex,https://lubimyczytac.pl/autor/14620/jacques-chessex,6.5,543,345,01.03.1934,2,2,0
François Villon,https://lubimyczytac.pl/autor/24587/francois-villon,7.0,856,415,01.01.1431,14,6,0
Thomas Brezina,https://lubimyczytac.pl/autor/3346/thomas-brezina,6.5,2114,1175,30.01.1963,40,49,0
Alan Campbell,https://lubimyczytac.pl/autor/3271/alan-campbell,6.5,569,710,Unknown,18,7,0
Neil Fiore,https://lubimyczytac.pl/autor/233/neil-fiore,6.4,579,1225,Unknown,5,2,0
John Fante,https://lubimyczytac.pl/autor/15975/john-fante,6.9,819,1041,08.04.1909,45,8,0
Ivo Andrić,https://lubimyczytac.pl/autor/30897/ivo-andric,6.7,823,1309,09.10.1892,29,16,0
Richard Wiseman,https://lubimyczytac.pl/autor/34739/richard-wiseman,7.5,1207,2703,Unknown,34,7,0
Laurann Dohner,https://lubimyczytac.pl/autor/43222/laurann-dohner,7.2,912,2019,10.06.1970,115,72,0
Tadeusz Kraszewski,https://lubimyczytac.pl/autor/25407/tadeusz-kraszewski,7.6,571,174,12.01.1903,5,10,0
Natasha Mostert,https://lubimyczytac.pl/autor/16100/natasha-mostert,5.7,503,447,Unknown,3,8,0
Łukasz Gołębiewski,https://lubimyczytac.pl/autor/58/lukasz-golebiewski,6.2,1337,1610,01.01.1971,36,61,0
Emily Cassel,https://lubimyczytac.pl/autor/31475/emily-cassel,5.5,544,171,Unknown,0,1,0
