author,author_href,description,number_of_user_opinions,number_of_user_ratings,number_of_discussions,Kategoria,Format,Cykl,Tytuł oryginału,Wydawnictwo,Data wydania,Data 1. wyd. pol.,Data 1. wydania,Liczba stron,Czas czytania,Język,ISBN,Tłumacz,Ekranizacje,number_of_people_read,number_of_people_has,number_of_people_favorite,number_of_people_wants_to_read,number_of_people_wants_as_gift,number_of_people_currently_read,tags,rating_10,rating_9,rating_8,rating_7,rating_6,rating_5,rating_4,rating_3,rating_2,rating_1,url,Inne,author1,author_href1,Seria,author2,author_href2,author3,author_href3,author4,author_href4,author5,author_href5,author6,author_href6,author7,author_href7,author8,author_href8,author9,author_href9,author10,author_href10,author11,author_href11,author12,author_href12,author13,author_href13,author14,author_href14,author15,author_href15,author16,author_href16,author17,author_href17,author18,author_href18,author19,author_href19,author20,author_href20,author21,author_href21,author22,author_href22,author23,author_href23,author24,author_href24,author25,author_href25,author26,author_href26,author27,author_href27
Andrzej Sapkowski,https://lubimyczytac.pl/autor/3291/andrzej-sapkowski," Reynevan, główny bohater tomów ""Narrenturm"" i ""Boży bojownicy"", nadal ma kłopoty, ciągle ktoś dybie na jego życie bądź przedstawia mu propozycję nie do odrzucenia. Prześladują go prozaiczni agenci wywiadu oraz siły nieczyste, wcale nie ukrywające swej diabelskiej proweniencji. Ale Reynevan żyje przecież w okrutnych i niebezpiecznych czasach. Na Śląsku i w Czechach, gdy przez ziemie te przetaczały się krucjaty i husyckie wyprawy odwetowe. Gdy nie znano słowa: ""Litość"" i z imieniem Boga na ustach wyrzynano tysiące niewinnych. Reinmar wierzy w religijną odnowę, staje po stronie zwolenników Husa, nawet gdy ci dokonują niewiarygodnych zbrodni. Cel uświęca środki. Reynevan chce pomścić śmierć brata. On, medyk i zielarz, idealista i bezinteresowny obrońca chorych i cierpiących, musi wcielić się w rolę husyckiego szpiega, dywersanta, zabójcy i bezlitosnego mściciela. Rozdarty pomiędzy obowiązkiem a głosem serca, stawia wszystko na jedną kartę, byle wyrwać ukochaną z rąk wrogów. On i Jutta to postacie niczym ze średniowiecznego romansu o Alkasynie i Nikoletcie.""Lux perpetua"" godnie wieńczy dzieło mistrza. Jest napisana z rozmachem, z niezwykłą dbałością o historyczny szczegół, z charakterystycznym dla Sapkowskiego humorem i wyczuciem językowym. Wojenne okrucieństwo kontrastuje ze wzruszającymi scenami miłosnymi, losy bohatera splecione z wątkiem wielkiej polityki zmierzają do nieuchronnego, a jednak zaskakującego finału. ",440,10766,0,"fantasy, science fiction",papier,Trylogia husycka (tom 3),,superNOWA,2020-01-01,2006-01-01,,606.0,10  godz. 6 min.,polski,9788375781410,,,14557,2997.0,723.0,3515,171.0,112.0,Nagroda Zajdla - nominacja (powieść)&Andrzej Sapkowski&Trylogia Husycka&wojny husyckie&Śląsk,1103,1982,3102,2891,1045,444,81,96,10,12,https://lubimyczytac.pl/ksiazka/4970632/lux-perpetua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Twain,https://lubimyczytac.pl/autor/6103/mark-twain," Klasyka literatury młodzieżowej w nowym wydaniu.Poznajcie Toma Sawyera, największego urwisa w historii Ameryki!Tom jest sierotą z miasteczka nad rzeką Mississippi, gdzie mieszka wraz z przyrodnim bratem i ciotką Polly, która ma z nim prawdziwe urwanie głowy. Chłopiec ciągle wpada na jakiś pomysł, który wywraca do góry nogami życie najbliższej okolicy. Wyjadanie konfitur, wagary, ucieczki, włóczęgi po cmentarzach, pirackie przygody, poszukiwanie skarbu w podejrzanym towarzystwie, bójki i tym podobne ekscesy wpisują się na długą listę „przestępstw” głównego bohatera powieści Marka Twaina.Przeżyjcie wraz z tym chłopcem o dobrym sercu i wyjątkowo niespokojnej naturze mnóstwo wspaniałych, czasem niebezpiecznych przygód, w tym także tę największą, która czeka i Was – dorastanie… ",463,9276,0,literatura młodzieżowa,papier,Przygody Tomka Sawyera (tom 1),The adventures of Tom Sawyer,Kropka,2022-11-16,1949-01-01,1992-01-01,272.0,4  godz. 32 min.,polski,9788367406871,Anna Bańkowska,Przygody Tomka Sawyera (1938),15929,2228.0,281.0,1369,,,,334,484,1071,2766,2263,1421,362,358,83,134,https://lubimyczytac.pl/ksiazka/5046886/przygody-toma-sawyera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frank Herbert,https://lubimyczytac.pl/autor/3481/frank-herbert," Fremeni pokonali Harkonnenów i imperialnych sardaukarów, a Paul poślubił księżniczkę Irulanę i zasiadł na tronie Imperium. Pustynna Arrakis, zwana Diuną, jest stolicą wszechświata. Tymczasem stare ośrodki władzy — Bene Gesserit i Gildia Kosmiczna — z pomocą fremeńskiego kapłaństwa i Bene Tleilax zawiązują spisek przeciw nowemu Imperatorowi. Czczony niczym bóg, Paul Muad’Dib wpada w pułapkę, choć zna każdą chwilę swojej przyszłości, każdy swój ruch, każdą decyzję i — przede wszystkim — swój straszliwy koniec… ",567,9226,0,"fantasy, science fiction",papier,Kroniki Diuny (tom 2),Dune Messiah,Rebis,2024-01-01,1986-01-01,1972-01-01,299.0,4  godz. 59 min.,polski,9788381884112,Marek Marszał,,12047,2823.0,336.0,3646,,309.0,Diuna&Arrakis&science fiction&Frank Herbert&Kroniki Diuny&Nebula&Hugo,596,1119,2377,3080,1370,474,116,68,15,11,https://lubimyczytac.pl/ksiazka/5114513/mesjasz-diuny,,,,Diuna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam Kay,https://lubimyczytac.pl/autor/157294/adam-kay," Witaj w świecie 97-godzinnych tygodni pracy. W świecie decyzji o życiu i śmierci. W świecie nieustannego tsunami płynów ustrojowych. W świecie, w którym zarabiasz dziennie mniej niż szpitalny parkometr. Pożegnaj się z przyjaciółmi i bliskimi związkami…Witaj w świecie lekarza stażysty.Spisana potajemnie po niekończących się dyżurach, bezsennych nocach i pracujących weekendach książka komika i byłego stażysty Adama Kaya to dotkliwie szczery opis czasu, który spędził na linii frontu brytyjskiej służby zdrowia. Na zmianę zabawne, przerażające i wzruszające zapiski omawiają wszystko, co chcieliście wiedzieć – i sporo rzeczy, o których wolelibyście nie wiedzieć – o życiu lekarzy na oddziale i poza nim. Uwaga, lektura może pozostawić blizny. ",1157,9236,0,"biografia, autobiografia, pamiętnik",papier,,This is Going to Hurt. Secret Diaries of a Junior Doctor,Insignis,2022-06-15,2018-06-06,2017-09-07,326.0,5  godz. 26 min.,polski,9788367323031,Katarzyna Dudzik,,11314,1618.0,258.0,4413,,259.0,literatura faktu&służba zdrowia&szpital,782,1345,3192,2497,958,286,101,42,25,8,https://lubimyczytac.pl/ksiazka/5021898/bedzie-bolalo-sekretny-dziennik-mlodego-lekarza,#0 Top 100 1 nagroda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarah J. Maas,https://lubimyczytac.pl/autor/74122/sarah-j-maas," Feyra powraca do Dworu Wiosny, zdeterminowana by zdobyć informacje o działaniach Tamlina oraz potężnego, złowrogiego króla Hybernii, który grozi, że rozgromi cały Prythian. Jednak by to osiągnąć, musi najpierw rozegrać śmiercionośną, przewrotną grę… Jeden poślizg może zniszczyć nie tylko Feyrę, ale też cały jej świat.W obliczu wojny, która ogarnia wszystkich, Feyra znów musi decydować, komu może ufać i szukać sojuszników w najmniej oczekiwanych miejscach. Niebawem dwie armie zetrą się w krwawej, nierównej walce o władzę. ",786,9117,0,romantasy,papier,Dwór cierni i róż (tom 3),A Court of Wings and Ruin,Uroboros,2024-04-24,2017-10-18,2017-05-02,848.0,14  godz. 8 min.,polski,9788383196077,Jakub Radzimiński,,11517,2472.0,1093.0,3625,131.0,314.0,fantastyka&literatura amerykańska&magia&nastolatka&niebezpieczeństwo&nienawiść&uczucie&walka dobra ze złem&walka o przetrwanie&walka o władzę&zemsta,2303,2143,2287,1393,573,222,84,67,22,23,https://lubimyczytac.pl/ksiazka/5109941/dwor-skrzydel-i-zguby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.S. Lewis,https://lubimyczytac.pl/autor/8430/c-s-lewis," NARNIA to pełna uroku i niezwykłych tajemnic kraina, którą czwórka młodych ludzi próbuje uratować przed siłami władców zła. Stworzył ją i opisał w siedmiotomowym cyklu ""Opowieści z Narnii"" C. S. Lewis, profesor uniwersytetu w Cambridge, zainspirowany zapamiętanym z dzieciństwa obrazem fauna idącego przez zaśnieżony las z parasolem i paczkami.W tomie czwartym zatytułowanym ""Srebrne krzesło"" Eustachy i Julia obdarzeni przez Aslana misją odnalezienia zaginionego królewicza Narnii, wędrując w towarzystwie dzielnego Błotosmętka przez budzące zdumienie i grozę krainy, odkrywają, że przeciwstawienie się złu daje zadziwiającą siłę do walki z nim.Ilustrowała: Pauline Baynes ",350,8811,0,"fantasy, science fiction",papier,Opowieści z Narnii (tom 4),The Silver Chair,Media Rodzina,2002-01-01,1987-01-01,2000-06-01,234.0,3  godz. 54 min.,polski,9788372781833,Andrzej Polkowski,,14187,3635.0,612.0,2640,90.0,100.0,Narnia&Aslan,638,865,1485,3013,1711,808,158,104,17,12,https://lubimyczytac.pl/ksiazka/9600/opowiesci-z-narnii-srebrne-krzeslo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Richelle Mead,https://lubimyczytac.pl/autor/30688/richelle-mead," MAGIA, NAMIĘTNOŚCI I INTRYGI W SZKOLE DLA WAMPIRÓWW ukrytej przed światem Akademii Świętego Władimira wampiry czystej krwi – moroje – uczą się posługiwać swoimi nadprzyrodzonymi mocami, a mieszańce – dampiry – szkolą się na ich strażników. Najgroźniejszymi ich wrogami są strzygi, nieśmiertelne wampiry, które potrafią przeniknąć nawet do szkolnych klas i dormitoriów w poszukiwaniu kolejnych ofiar, władzy i krwi.Lissa Dragomir jest morojską księżniczką, ostatnią przedstawicielką swojego królewskiego rodu. Musi być cały czas chroniona przed strzygami, które zagrażają śmiertelnym wampirom takim jak ona. Rose Hathaway to dampirka, w której żyłach płynie ludzka i wampirza krew. Jest nie tylko najlepszą przyjaciółką Lissy, ale też jej najbardziej oddaną opiekunką. Łączy je niezwykła telepatyczna więź.Po dwóch latach życia na wolności Lissa i Rose wracają do Akademii. Przyjaciółki nie powinny ani na chwilę stracić czujności, tymczasem Lissa wpada w depresję, a Rose zostaje wystawiona na próbę nie tylko morderczych treningów, ale i zakazanej miłości. Staje przed wyborem między przyjaciółką, dla której żyje, a mężczyzną, bez którego nie może żyć… ",905,8698,0,"fantasy, science fiction",papier,Akademia wampirów (tom 1),Vampire Academy,Poradnia K,2023-02-22,2010-02-10,2007-01-01,304.0,5  godz. 4 min.,polski,9788367195492,Monika Gajdzińska,Akademia wampirów (2014),12361,2029.0,1490.0,4323,229.0,142.0,akademia wampirów&wampiry&mead,1691,1292,1760,1856,1158,518,190,147,46,40,https://lubimyczytac.pl/ksiazka/5057734/akademia-wampirow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toshikazu Kawaguchi,https://lubimyczytac.pl/autor/187020/toshikazu-kawaguchi," Mała kawiarnia w Tokio pozwala swoim gościom na podróż w czasie. Pod warunkiem, że wrócą, zanim wystygnie kawa.Światowy bestseller. Ponad milion sprzedanych egzemplarzy.A gdyby móc cofnąć się w czasie? Gdyby choć na chwilę wrócić do przeszłości i spróbować coś wyjaśnić, czemuś zaradzić, spotkać się z kimś, może po raz ostatni…W małej bocznej uliczce w Tokio ukryła się klimatyczna kawiarnia, która od ponad stu lat serwuje starannie parzoną kawę. Krążą pogłoski, że swoim klientom oferuje też wyjątkową możliwość podróży w czasie.W „Zanim wystygnie kawa” spotykamy cztery osoby, z których każda ma nadzieję skorzystać z tej oferty. Ktoś chce się skonfrontować z dawną miłością, ktoś powrócić do czasów sprzed utraty pamięci, zobaczyć się z siostrą, spotkać córkę, której nigdy nie było okazji poznać.Wszystko może się wydarzyć, ale pod wieloma warunkami. Najważniejszy: musisz wrócić, zanim wystygnie twoja kawa. ",1527,8919,1,literatura piękna,papier,Zanim wystygnie kawa (tom 1),Kohi ga Samenai Uchi ni,Grupa Wydawnicza Relacja,2022-07-13,2015-12-05,2019-09-19,219.0,3  godz. 39 min.,polski,9788367216463,Joanna Dżdża,,10406,1682.0,125.0,6778,,393.0,Tokio&kawiarnia&tajemnica&podróż w czasie&literatura japońska&fantastyka,379,626,1663,2626,2123,867,303,210,81,41,https://lubimyczytac.pl/ksiazka/5017747/zanim-wystygnie-kawa,#0 Top 100 1 nagroda,,,Japońska Relacja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peter V. Brett,https://lubimyczytac.pl/autor/18930/peter-v-brett," Sto tysięcy ludzi walczących ramię w ramię liczy się o wiele więcej niż sto milionów kulących się ze strachu.Dlaczego cierpimy? Przez alagai!Dlaczego Hannu Pash jest konieczna? Przez alagai! Bez alagai cały ten świat byłby niebiańskim rajem, spoczywającym w objęciach Everama...Jaki masz cel w życiu? Chcę zabijać alagai!A jak umrzesz? W szponach alagai! Dal’Sharum nie umierają w łóżkach ze starości! Nie padają ofiarą słabości bądź głodu! Dal’Sharum giną w bitwie, walczą, póki nie zasłużą na raj.Śmierć alagai! Chwała Everamowi! ",387,8385,1,"fantasy, science fiction",papier,Cykl Demoniczny (tom 2.1),The Desert Spear,Fabryka Słów,2022-03-25,2010-06-18,2012-07-01,515.0,8  godz. 35 min.,polski,9788379647194,Marcin Mortka,,11561,2316.0,630.0,2745,97.0,137.0,,909,1476,2877,2087,739,197,49,38,8,5,https://lubimyczytac.pl/ksiazka/5001456/pustynna-wlocznia-ksiega-i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam Mickiewicz,https://lubimyczytac.pl/autor/6520/adam-mickiewicz," Klasyka literatury polskiej i światowej w starannym wydaniu z przypisami – to książka, którą warto mieć w swojej domowej biblioteczce i do której warto wracać. Tekst opatrzono wskazówkami interpretacyjnymi i hasłami ułatwiającymi nawigację po książce – dzięki nim łatwo znaleźć potrzebny w trakcie omawiania lektury fragment, zgromadzić materiały do wypracowań i ustnych wypowiedzi, zapamiętać najważniejsze informacje i utrwalić znajomość lektury. ",246,8059,0,literatura piękna,papier,,,Wydawnictwo SBM,2021-08-16,1943-01-01,,72.0,1  godz. 12 min.,polski,9788382222371,,,15031,1390.0,63.0,846,,,Klasyka literatury&lektura,133,233,465,1376,1859,1885,789,889,183,247,https://lubimyczytac.pl/ksiazka/4978605/konrad-wallenrod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brandon Sanderson,https://lubimyczytac.pl/autor/30385/brandon-sanderson," Książka autora ""Drogi królów"" i ""Słów światłości"".Przez tysiąc lat popiół zasypywał kraj, nie kwitły kwiaty. Przez tysiąc lat skaa wiedli niewolnicze życie w nędzy i strachu. Przez tysiąc lat Ostatni Imperator, ""Skrawek Nieskończoności”, posiadając władzę absolutną, rządził i stosował terror, niezwyciężony jak bóg. A kiedy nadzieja została porzucona już tak dawno, że nie pozostały z niej nawet wspomnienia, pokryty bliznami pół-skaa ze złamanym sercem odkrywa ją na nowo w piekielnym więzieniu Ostatniego Imperatora. Tam poznaje moce Zrodzonego z Mgły. Znakomity złodziejaszek i urodzony przywódca, wykorzystuje swoje talenty w intrydze, która ma pozbawić tronu i władzy samego Ostatniego Imperatora. ",743,8299,0,"fantasy, science fiction",papier,Z Mgły Zrodzony (tom 1),Mistborn,Mag,2015-06-15,2008-03-21,2006-07-17,689.0,11  godz. 29 min.,polski,9788374805537,Aleksandra Jagiełowicz,,10301,2288.0,683.0,7070,124.0,287.0,Z mgły zrodzony&mgła&ostatnie imperium,1286,2252,2642,1466,440,141,35,25,5,7,https://lubimyczytac.pl/ksiazka/255407/z-mgly-zrodzony,,,,Cosmere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harlan Coben,https://lubimyczytac.pl/autor/18011/harlan-coben," Mecz US Open zostaje przerwany przez odgłos strzału. Ofiarą okazuje się tenisistka, Valerie Simpson. Próbowała wrócić do sportu po załamaniu nerwowym, a jako swojego agenta zaangażowała Myrona Bolitara. W tym czasie na karocie walczył inny klient Bolitara, Duane Richwood, i to właśnie on staje się podejrzanym numer 1.Myron musi działać szybko. Razem z przyjacielem, Winem, będą zmuszeni połączyć kawałki układanki, które pokierują ich do klubu, gdzie pewnej nocy popełnione zostało morderstwo... ",443,8100,0,"kryminał, sensacja, thriller",papier,Myron Bolitar (tom 2),Drop Shot,Albatros,2024-08-02,2003-01-01,1996-02-05,384.0,6  godz. 24 min.,polski,9788383612379,Zbigniew A. Królicki,,11942,1803.0,239.0,2597,,103.0,harlan coben&w labiryncie kłamstw&Myron Bolitar,474,657,1869,3163,1363,429,84,52,7,2,https://lubimyczytac.pl/ksiazka/5112148/krotka-pilka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Katarzyna Grochola,https://lubimyczytac.pl/autor/13350/katarzyna-grochola," Kultowa książka, kultowy film.Oto Judyta, od której wszystko się zaczęło. Także #judytowanie!Judyta nie ma łatwego życia. Właśnie skończyła 37 lat, mąż porzucił ją dla młodszej kobiety, a nastoletnia córka Tosia wkroczyła w okres buntu. Na dodatek jako autorka kolumny z poradami w piśmie kobiecym musi radzić innym, jak znaleźć szczęście. Nie ma jednak tego złego, co by na dobre nie wyszło. Koniec końców Judyta samodzielnie zbuduje dom na odludziu i zakocha się bez pamięci…Film nakręcony w 2004 roku na podstawie tej książki przyciągnął do kin prawie 2 miliony widzów. W stacjach telewizyjnych jednorazowo oglądało go około 5 milionów osób. Po dwudziestu latach od premiery produkcja z kreacjami Danuty Stenki, Artura Żmijewskiego i Joanny Brodzik nadal regularnie gości na ekranach, zyskując wielbicieli w kolejnych pokoleniach, czego dowodem jest popularny internetowy trend #judytowanie. ",481,7916,0,"literatura obyczajowa, romans",papier,Żaby i anioły (tom 1),,Wydawnictwo Literackie,2024-10-23,2001-01-01,,336.0,5  godz. 36 min.,polski,9788308085318,,,12376,1519.0,274.0,1050,35.0,37.0,Judyta&Tosia&Adam&literatura polska&ekranizacja,376,466,774,2028,1760,1418,385,450,93,166,https://lubimyczytac.pl/ksiazka/5162387/nigdy-w-zyciu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rebecca F. Kuang,https://lubimyczytac.pl/autor/171328/rebecca-f-kuang," Kiedy jesteś sierotą wojenną świat ma dla ciebie głównie pogardę, odrzucenie, brutalność i ból. Czasem, jeśli akurat masz szczęście, obojętność. Jeśli natomiast do tego jesteś dziewczynką, szczęście ma twoja przybrana rodzina. Zawsze może ubić interes i sprzedać cię na żonę jakiemuś zamożnemu staruchowi. Rin doświadczyła tego wszystkiego. Jest nikim, jej życie nie ma dla nikogo żadnego znaczenia, nikogo też nie obchodzi jej los. Jeśli chce wydostać się z rynsztoka, w którym się wychowała, ma tylko dwie drogi. Pierwsza wiedzie przez łóżko obmierzłego starca. Druga, przez bramę Akademii Sinegradzkiej – elitarnej szkoły wojskowej. Aby podążyć tą drugą drogą, Rin zrobi wszystko, co tylko leży w ludzkiej mocy. A nawet więcej. To nie jest historia o potędze nauki, sile przyjaźni czy starciach wielkiej magii. To jest historia o kołach czasu, które nieustępliwie i bezlitośnie mielą ludzkie losy. I o dziewczynie, która zniszczyła cały mechanizm. Kamieniem, bo na miecz była za biedna. ",1147,8005,0,"fantasy, science fiction",papier,Wojna makowa (tom 1),The Poppy War,Fabryka Słów,2020-02-12,2020-01-01,2018-05-01,640.0,10  godz. 40 min.,polski,9788379645275,Grzegorz Komerski,,9347,2020.0,349.0,6701,,451.0,literatura chińska&fantasy,799,1278,2272,1970,1004,380,137,110,34,21,https://lubimyczytac.pl/ksiazka/4909870/wojna-makowa,#0 Top 100 1 nagroda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piotr C.,https://lubimyczytac.pl/autor/66882/piotr-c," „Pokolenie Ikea” to opowieść o ludziach, którzy pracują po to, aby spłacać kredyty, rozczarowani rygorystycznym, sprzedanym za namiastki szczęścia życiem.Jak zabawia się w piątkowy wieczór młody gwiazdor warszawskiej palestry?O czym śni Olga, grzeczna dziewczynka z dobrego domu, codziennie wbijająca się w garsonkę?Za czym tęsknią ludzie w szklanych wieżowcach?Co jeszcze można sprzedać?Czy życie trwa przez dwa tygodnie w roku?PREMIERA FILMU w marcu 2023 roku! W rolę Czarnego wcielił się Bartosz Gelner, a postać Olgi wykreowała Michalina Olszańska. W pozostałych rolach zobaczycie również Majkę Jeżowską (debiut na wielkim ekranie!),Pawła Małaszyńskiego, Jana Aleksandrowicz-Krasko oraz gościnnie Karolinę Gorczycę.Książka zawiera dodatki filmowe w postaci tekstów i zdjęć z planu zdjęciowego.PRZECZYTAJ, ZANIM OBEJRZYSZ FILM! ",998,7756,0,literatura piękna,papier,Pokolenie Ikea (tom 1),,Novae Res,2023-02-22,2012-05-30,,224.0,3  godz. 44 min.,polski,9788383133782,,Pokolenie Ikea (2023),10227,1699.0,101.0,2382,,151.0,,199,197,533,1036,1626,1362,872,777,546,608,https://lubimyczytac.pl/ksiazka/5056735/pokolenie-ikea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabriela Zapolska,https://lubimyczytac.pl/autor/18973/gabriela-zapolska," Moralność pan Dulskiej – tragifarsa kołtuńska jest dramatem w trzech aktach Gabrieli Zapolskiej należącym do kanonu literatury polskiej. Premiera utworu miała miejsce w Krakowie w 1906 roku. Sztuka opisuje obyczaje panujące w mieszczańskiej rodzinie Anieli Dulskiej. Główna bohaterka jest osobą dwulicową. Przykłada wielu starań, aby na pokaz, w oczach sąsiadów, wypaść na osobę szacowną i godną poważania. Ale są to tylko pozory, pod którymi kryje się wyrachowany egoizm, chciwość, brak życzliwości i pogarda dla ludzi ubogich. W domu pani Dulskiej królują interesowność i zakłamanie, czystej kalkulacji podporządkowany jest na przykład stosunek bohaterki do romansu jej syna ze służącą Hanką.Moralność pani Dulskiej jest krytyką mentalności drobnomieszczańskiej z silnym przesłaniem moralnym. Utwór zawiera zarówno elementy komedii, w których zachowanie kołtuńskie okazuje się godne śmiechu, jak i tragedii, gdzie to zachowanie prowadzi do ludzkich dramatów i łez. Sztuka spotkała się z entuzjastycznym przyjęciem, zarówno wśród widzów, jak i ludzi teatru. Była wielokrotnie wystawiana, często w doskonałej obsadzie aktorskiej. Dzisiaj jest tym bardziej aktualna, że we współczesnym świecie całkowitej tolerancji i odchodzenia od moralności chrześcijańskiej coraz trudniej krytykować chciwość i fałszywość pań i panów Dulskich. ",317,7515,0,"utwór dramatyczny (dramat, komedia, tragedia)",papier,Pani Dulska (tom 1),,Wydawnictwo SBM,2021-07-26,1953-01-01,,188.0,3  godz. 8 min.,polski,9788382222159,,,12738,1398.0,183.0,1669,,,lektura szkolna&literatura polska&literatura XX w.&Lwów&Kraków,233,486,988,2420,1754,1098,206,253,25,52,https://lubimyczytac.pl/ksiazka/4978621/moralnosc-pani-dulskiej,,,,Lektura z Opracowaniem - Wydawnictwo SBM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paulo Coelho,https://lubimyczytac.pl/autor/14849/paulo-coelho," Pielgrzym jest tą powieścią Paula Coelho, która utorowała drogę do międzynarodowegosukcesu bestsellerowemu Alchemikowi. Pod wieloma względami te dwie książki siędopełniają - aby naprawdę zrozumieć jedną, musisz przeczytać drugą.Daj się wciągnąć w porywającą relację z pielgrzymki Coelho szlakiem Santiago deCompostela. Ta fascynująca opowieść mówi o potrzebie odnalezienia własnej drogi. Ma wsobie coś z powieści przygodowej, równocześnie jest przewodnikiem samopoznania. Widealny sposób łączy literacki urok z inspiracją do wglądu w głąb siebie.„Niezwykłe napotkać można na ścieżkach zwykłych ludzi”. ",346,7412,0,literatura piękna,papier,,Diário de um mago,Drzewo Babel,2024-10-10,2003-01-01,,,,polski,9788368087024,Krystyna Szeżyńska-Maćkowiak,,11648,2099.0,193.0,1507,19.0,96.0,powieść&przygoda&truizmy&złote myśli&topos drogi,250,393,496,1436,1502,1438,537,746,202,412,https://lubimyczytac.pl/ksiazka/5128638/pielgrzym,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jakub Małecki,https://lubimyczytac.pl/autor/30658/jakub-malecki," Przyjaźń poddana wielkiej próbie i marzenie, które staje się ciężarem.Lato 2002 roku. Czekając na powrót rodziców z wielkiego miasta, siedmioletni Szymon układa monety na torach. Nie wie, że jego życie już nigdy nie będzie takie, jak dotychczas.Kilka dekad wcześniej jego babka, Tośka, wyrusza w podróż, którą zapamięta na zawsze. Wyrwana z bezpiecznego domu dziewczynka trafia do obcego świata, którego zasad musi się nauczyć. Jako dorosła kobieta stanie przed konsekwencją swoich dawnych wyborów.Losy tych dwojga splatają się w sposób, którego żadne z nich się nie spodziewa. Zmuszeni żyć ze sobą, pomimo różnic, Szymon i Tośka próbują zrozumieć się nawzajem i uwierzyć, że wszystko będzie dobrze. ",1092,7613,0,literatura piękna,papier,,,Sine Qua Non,2021-09-24,2017-09-13,,288.0,4  godz. 48 min.,polski,9788382104714,,,8904,1412.0,330.0,4766,,145.0,II wojna światowa&literatura polska&miłość&odwaga&polska wieś&powieść obyczajowa&prowincja&przyjaźń&rodzina&rozczarowanie&samobójstwo&samotność&śmierć,653,1326,2559,1968,732,238,72,40,14,11,https://lubimyczytac.pl/ksiazka/4986412/rdza,#0 Top 100 1 nagroda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
